"","water_yr","Station","combo_name","Date","tempC","DO..mg.L.","DO_sat....","Biochemical.Oxygen.Demand..mg.L.","pH..si.","Total.Solids..mg.L.","Ammonia..mg.L.","Nitrate.as.N.mg.L.","Total.Phosphorus..mg.L.","ecoli..MPN.","fecal.coliform..MPN.","temp_si","temp_cond","bod_si","bod_cond","ph_si","ph_cond","n_si","n_cond","p_si","p_cond","do_si","do_cond","ts_si","ts_cond","ecoli_si","fec_si","bact_si","bact_cond","owqi","owqi_cond"
"896","2013","10719","GR_RND  Grande Ronde R at HWY 82 (Elgin)","10/9/12","5.8","10.4","92","1.7","8.1","123","0.005","0.059","0.06","62",NA,"100","Excellent","71","Poor","95","Excellent","97","Excellent","82","Fair","100","Excellent","97","Excellent","94",NA,"94","Excellent","90","Excellent"
"897","2013","10724","POW  Powder R at HWY 86","10/9/12","10.3","12.7","125","0.8","8.6","437","0.011","0.012","0.17","59",NA,"100","Excellent","85","Good","73","Poor","99","Excellent","49","Very Poor","74","Poor","84","Fair","95",NA,"95","Excellent","76","Poor"
"898","2013","10720","GR_RND  Grande Ronde R at Hilgard St Park","10/9/12","4","10.8","92","0.7","8","86","0.005","0.006","0.02","8",NA,"100","Excellent","87","Good","100","Excellent","100","Excellent","94","Excellent","100","Excellent","100","Excellent","98",NA,"98","Excellent","97","Excellent"
"899","2013","11490","POW  Powder R at HWY 7 (Baker City)","10/9/12","8","11.3","107","1","8.4","90","0.005","0.02","0.03","43",NA,"100","Excellent","82","Fair","81","Fair","99","Excellent","91","Excellent","92","Excellent","100","Excellent","97",NA,"97","Excellent","92","Excellent"
"900","2013","11457","GR_RND  Minam R at Minam","10/9/12","3.1","12.2","99","1.3","7.9","56","0.005","0.003","0.005","4",NA,"100","Excellent","77","Poor","100","Excellent","100","Excellent","99","Excellent","100","Excellent","100","Excellent","98",NA,"98","Excellent","96","Excellent"
"901","2013","11521","GR_RND  Grande Ronde R at Peach Ln (Island City)","10/9/12","6.9","11","99","1.1","8.1","100","0.005","0.018","0.005","63",NA,"100","Excellent","80","Fair","95","Excellent","99","Excellent","99","Excellent","100","Excellent","100","Excellent","94",NA,"94","Excellent","95","Excellent"
"902","2013","10729","OWYH  Owyhee R at HWY 201","10/10/12","10","9.5","91","1.3","8.3","649","0.005","4.21","0.11","70",NA,"100","Excellent","77","Poor","86","Good","10","Very Poor","67","Poor","96","Excellent","72","Poor","93",NA,"93","Excellent","27","Very Poor"
"903","2013","10407","MAL  Malheur R at HWY 30 (Mouth)","10/10/12","10","9.3","89","1.4","8.4","661","0.005","2.65","0.37","73",NA,"100","Excellent","76","Poor","81","Fair","29","Very Poor","10","Very Poor","95","Excellent","71","Poor","93",NA,"93","Excellent","26","Very Poor"
"904","2013","10728","MAL  Willow Creek at RR Xing east of Vale","10/10/12","10.2","9.8","94","1.6","8.3","586","0.011","2.04","0.31","285",NA,"100","Excellent","73","Poor","86","Good","39","Very Poor","10","Very Poor","98","Excellent","75","Poor","70",NA,"70","Poor","26","Very Poor"
"905","2013","33266","MAL  Willow Creek north of Jamieson OR","10/10/12","11.2","10","99","1.4","8.2","406","0.005","1.03","0.23","50",NA,"100","Excellent","76","Poor","90","Excellent","62","Poor","31","Very Poor","98","Excellent","86","Good","96",NA,"96","Excellent","63","Poor"
"906","2013","11494","POW  Burnt R ds Huntington","10/10/12","9.4","10","93","1","8.5","420","0.005","0.018","0.12","81",NA,"100","Excellent","82","Fair","77","Poor","99","Excellent","64","Poor","98","Excellent","85","Good","92",NA,"92","Excellent","84","Fair"
"907","2013","11043","MAL  Bully Creek at HWY 20 (Vale)","10/10/12","11.5","11.3","112","1.3","8.4","531","0.005","0.96","0.26","38",NA,"100","Excellent","77","Poor","81","Fair","64","Poor","10","Very Poor","87","Good","78","Poor","97",NA,"97","Excellent","27","Very Poor"
"908","2013","11480","MAL  Malheur R at Little Valley","10/10/12","11.5","13.4","133","0.9","8.7","340","0.01","0.03","0.17","137",NA,"100","Excellent","84","Fair","70","Poor","98","Excellent","49","Very Poor","67","Poor","90","Excellent","85",NA,"85","Good","74","Poor"
"909","2013","11479","JOHN_D  John Day R us Dayville","10/11/12","8.5","10","93","1.9","8.3","206","0.005","0.003","0.09","88",NA,"100","Excellent","68","Poor","86","Good","100","Excellent","73","Poor","98","Excellent","85","Good","91",NA,"91","Excellent","85","Good"
"910","2013","11386","JOHN_D  John Day R at HWY 206","10/11/12","14.4","10.3","102","1","8.6","220","0.005","0.003","0.02","17",NA,"97","Excellent","82","Fair","73","Poor","100","Excellent","94","Excellent","98","Excellent","84","Fair","98",NA,"98","Excellent","89","Good"
"911","2013","11020","JOHN_D  S Fk John Day R at Dayville","10/11/12","8.2","10.6","97","0.8","8.3","216","0.005","0.026","0.02","83",NA,"100","Excellent","85","Good","86","Good","99","Excellent","94","Excellent","100","Excellent","84","Fair","91",NA,"91","Excellent","92","Excellent"
"912","2013","11478","JOHN_D  John Day R at Service Creek","10/11/12","11.6","10.1","97","1.2","8.6","208","0.005","0.003","0.04","16",NA,"100","Excellent","79","Poor","73","Poor","100","Excellent","88","Good","99","Excellent","85","Good","98",NA,"98","Excellent","88","Good"
"913","2013","11017","JOHN_D  N Fk John Day R at Kimberly","10/11/12","10.5","9.5","90","1","8.3","147","0.005","0.018","0.01","40",NA,"100","Excellent","82","Fair","86","Good","99","Excellent","97","Excellent","96","Excellent","93","Excellent","97",NA,"97","Excellent","93","Excellent"
"914","2013","10674","SANDY  Sandy R at Troutdale Bridge","10/16/12","13","10.4","98","3.5","7.4","2166","0.005","0.124","0.28","570",NA,"99","Excellent","50","Very Poor","100","Excellent","94","Excellent","10","Very Poor","100","Excellent","10","Very Poor","50",NA,"50","Very Poor","19","Very Poor"
"915","2013","10411","DES  Deschutes R at Deschutes R Park (Mouth)","10/16/12","13.6","11.4","109","2.4","8.4","95","0.005","0.176","0.1","16",NA,"98","Excellent","62","Poor","81","Fair","92","Excellent","70","Poor","90","Excellent","89","Good","98",NA,"98","Excellent","82","Fair"
"916","2013","33603","HOOD  Neal Creek at Fir Mountain Rd","10/16/12","11.4","10.4","97","1.4","7.9","100","0.005","0.147","0.06","219",NA,"100","Excellent","76","Poor","100","Excellent","93","Excellent","82","Fair","100","Excellent","73","Poor","77",NA,"77","Poor","85","Good"
"917","2013","12012","HOOD  Hood River at Hood River","10/16/12","11.2","10.9","98","3.4","7.4","6693","0.005","0.159","6.68","403",NA,"100","Excellent","51","Very Poor","100","Excellent","93","Excellent","10","Very Poor","100","Excellent","10","Very Poor","61",NA,"61","Poor","19","Very Poor"
"918","2013","36784","UMA  Willow Creek at Rhea Rd","10/16/12","13.2","9.1","90","1.9","8.3","314","0.04","0.65","0.1","488",NA,"99","Excellent","68","Poor","86","Good","73","Poor","70","Poor","94","Excellent","73","Poor","55",NA,"55","Very Poor","73","Poor"
"919","2013","36787","JOHN_D  Rock Creek near mouth","10/16/12","13.7","8.8","84","1.4","8.1","199","0.005","0.303","0.1","93",NA,"98","Excellent","76","Poor","95","Excellent","87","Good","70","Poor","92","Excellent","86","Good","90",NA,"90","Excellent","85","Good"
"920","2013","36785","UMA  Rhea Creek at Bergevin Rd. or Morter Rd","10/16/12","13.3","6.1","61","2.1","8.1","352","0.03","0.066","0.11","42",NA,"98","Excellent","66","Poor","95","Excellent","96","Excellent","67","Poor","62","Poor","69","Poor","97",NA,"97","Excellent","77","Poor"
"921","2013","28333","MID_COLUM  Fifteen mile creek at Petersburg OR","10/16/12","13.3","10","95","2","8","116","0.005","0.121","0.04","185",NA,"98","Excellent","67","Poor","100","Excellent","94","Excellent","88","Good","98","Excellent","67","Poor","80",NA,"80","Fair","83","Fair"
"922","2013","10637","WIL_MID  Mollala R at Canby","10/22/12","9.8","10.6","94","1.1","7.5","49","0.005","0.203","0.03","57",NA,"100","Excellent","80","Fair","100","Excellent","91","Excellent","91","Excellent","100","Excellent","95","Excellent","95",NA,"95","Excellent","93","Excellent"
"923","2013","10917","WIL_MID  Pudding R at HWY 99E (Aurora)","10/22/12","11.1","9.3","84","1.2","7.5","119","0.024","1.52","0.12","105",NA,"100","Excellent","79","Poor","100","Excellent","49","Very Poor","64","Poor","95","Excellent","66","Poor","89",NA,"89","Good","73","Poor"
"924","2013","10640","WIL_MID  Pudding R at HWY 211 (Woodburn)","10/22/12","11.1","9.2","83","1.3","7.5","105","0.022","1.19","0.12","99",NA,"100","Excellent","77","Poor","100","Excellent","57","Very Poor","64","Poor","94","Excellent","71","Poor","90",NA,"90","Excellent","77","Poor"
"925","2013","10339","WIL_MID  Willamette R at Canby Ferry","10/22/12","12.2","9.6","89","0.7","7.5","60","0.041","0.224","0.07","25",NA,"100","Excellent","87","Good","100","Excellent","89","Good","79","Poor","97","Excellent","90","Excellent","98",NA,"98","Excellent","91","Excellent"
"926","2013","11233","WIL_LWR  Clackamas R at High Rocks","10/22/12","9.6","10.9","95","0.6","7.7","56","0.005","0.112","0.05","101",NA,"100","Excellent","89","Good","100","Excellent","95","Excellent","85","Good","100","Excellent","92","Excellent","89",NA,"89","Good","93","Excellent"
"927","2013","13070","WIL_LWR  Clackamas R at McIver Park (Upper Boat Ramp)","10/22/12","9.8","10.7","95","0.9","7.7","59","0.005","0.05","0.03","17",NA,"100","Excellent","84","Fair","100","Excellent","97","Excellent","91","Excellent","100","Excellent","90","Excellent","98",NA,"98","Excellent","94","Excellent"
"928","2013","14008","WIL_LWR  Clackamas R at Memaloose Rd","10/22/12","7.6","11.3","94","1","7.6","49","0.005","0.009","0.02","1",NA,"100","Excellent","82","Fair","100","Excellent","99","Excellent","94","Excellent","100","Excellent","95","Excellent","98",NA,"98","Excellent","95","Excellent"
"929","2013","11321","WIL_LWR  Johnson Creek at SE 17th Ave. (Portland)","10/22/12","10.8","10.4","94","1.8","7.7","122","0.027","2.76","0.1","579",NA,"100","Excellent","70","Poor","100","Excellent","28","Very Poor","70","Poor","100","Excellent","65","Poor","49",NA,"49","Very Poor","55","Very Poor"
"930","2013","10344","WIL_MID  Willamette R at Wheatland Ferry","10/23/12","10.8","10.2","92","1.1","7.6","71","0.042","0.147","0.06","35",NA,"100","Excellent","80","Fair","100","Excellent","92","Excellent","82","Fair","99","Excellent","85","Good","98",NA,"98","Excellent","91","Excellent"
"931","2013","10350","WIL_UPR  Willamette R at Albany","10/23/12","11.3","10.2","93","0.9","7.7","68","0.014","0.102","0.07","20",NA,"100","Excellent","84","Fair","100","Excellent","95","Excellent","79","Poor","99","Excellent","86","Good","98",NA,"98","Excellent","92","Excellent"
"932","2013","10555","WIL_MID  Willamette R at Salem","10/23/12","10.6","10.2","91","0.9","7.6","67","0.018","0.13","0.05","20",NA,"100","Excellent","84","Fair","100","Excellent","93","Excellent","85","Good","99","Excellent","87","Good","98",NA,"98","Excellent","92","Excellent"
"933","2013","10373","WIL_UPR  Mary's R at HWY 99W (Corvallis)","10/23/12","9.9","10","88","1.5","7.7","97","0.005","0.196","0.06","50",NA,"100","Excellent","74","Poor","100","Excellent","91","Excellent","82","Fair","98","Excellent","74","Poor","96",NA,"96","Excellent","87","Good"
"934","2013","10352","WIL_UPR  Willamette R at Corvallis","10/23/12","11.2","10.2","92","1.1","7.7","73","0.005","0.096","0.06","28",NA,"100","Excellent","80","Fair","100","Excellent","95","Excellent","82","Fair","99","Excellent","84","Fair","98",NA,"98","Excellent","91","Excellent"
"935","2013","10366","WIL_MID  S Santiam R at HWY 226 (Crabtree)","10/23/12","10.5","11.3","103","1","7.6","46","0.005","0.055","0.02","9",NA,"100","Excellent","82","Fair","100","Excellent","97","Excellent","94","Excellent","96","Excellent","97","Excellent","98",NA,"98","Excellent","95","Excellent"
"936","2013","10792","WIL_MID  N Santiam R at Greens Bridge","10/23/12","9.5","11.5","100","0.8","7.7","49","0.005","0.049","0.03","12",NA,"100","Excellent","85","Good","100","Excellent","98","Excellent","91","Excellent","100","Excellent","95","Excellent","98",NA,"98","Excellent","95","Excellent"
"937","2013","36875","WIL_MID  Luckiamute River at Buena Vista Rd","10/23/12","9.8","10","88","0.6","7.4","59","0.005","0.182","0.04","236",NA,"100","Excellent","89","Good","100","Excellent","92","Excellent","88","Good","98","Excellent","90","Excellent","75",NA,"75","Poor","90","Excellent"
"938","2013","11180","WIL_UPR  Calapooia R at Queens Rd (Albany)","10/23/12","10.3","10.1","90","1.2","7.6","66","0.005","0.115","0.06","167",NA,"100","Excellent","79","Poor","100","Excellent","95","Excellent","82","Fair","99","Excellent","87","Good","82",NA,"82","Fair","89","Good"
"939","2013","11182","WIL_UPR  Calapooia Creek at HWY 99E","10/23/12","10","10.4","92","1.1","7.6","63","0.005","0.111","0.02","192",NA,"100","Excellent","80","Fair","100","Excellent","95","Excellent","94","Excellent","100","Excellent","88","Good","79",NA,"79","Poor","91","Excellent"
"940","2013","10359","WIL_UPR  Willamette R at HWY 126 (Springfield)","10/24/12","13","10.7","101","0.8","7.9","63","0.005","0.027","0.03","17",NA,"99","Excellent","85","Good","100","Excellent","99","Excellent","91","Excellent","99","Excellent","88","Good","98",NA,"98","Excellent","94","Excellent"
"941","2013","10355","WIL_UPR  Willamette R at HWY 99E (Harrisburg)","10/24/12","10.8","10.1","91","0.7","7.6","63","0.005","0.064","0.04","29",NA,"100","Excellent","87","Good","100","Excellent","97","Excellent","88","Good","99","Excellent","88","Good","98",NA,"98","Excellent","94","Excellent"
"942","2013","10386","WIL_UPR  Middle Fk Willamette R at Jasper Bridge","10/24/12","12.9","10.3","97","0.7","7.7","70","0.005","0.018","0.03","10",NA,"99","Excellent","87","Good","100","Excellent","99","Excellent","91","Excellent","99","Excellent","85","Good","98",NA,"98","Excellent","94","Excellent"
"943","2013","10376","WIL_UPR  McKenzie R at Coburg Rd","10/24/12","9.3","10.9","95","0.3","7.6","66","0.005","0.019","0.04","16",NA,"100","Excellent","94","Excellent","100","Excellent","99","Excellent","88","Good","100","Excellent","87","Good","98",NA,"98","Excellent","95","Excellent"
"944","2013","36790","WIL_UPR  Muddy creek south of Corvallis at Airport Ave","10/24/12","9","8.8","76","2","7.2","104","0.005","0.034","0.13","326",NA,"100","Excellent","67","Poor","100","Excellent","98","Excellent","61","Poor","92","Excellent","71","Poor","67",NA,"67","Poor","77","Poor"
"945","2013","36788","WIL_UPR  Amazon Creek at High Pass Rd","10/24/12","9.3","9.3","81","2.3","7.7","144","0.005","0.301","0.16","115",NA,"100","Excellent","63","Poor","100","Excellent","87","Good","52","Very Poor","95","Excellent","58","Very Poor","88",NA,"88","Good","73","Poor"
"946","2013","11140","WIL_UPR  Long Tom R at Stow Pit Rd (Monroe)","10/24/12","11.3","10.3","92","1.2","7.5","103","0.019","0.087","0.11","88",NA,"100","Excellent","79","Poor","100","Excellent","95","Excellent","67","Poor","99","Excellent","72","Poor","91",NA,"91","Excellent","85","Good"
"947","2013","11275","WIL_UPR  Coast Fk Willamette R at Mt. Pisgah Park","10/24/12","11.7","10.6","98","1.1","7.7","59","0.005","0.069","0.05","24",NA,"100","Excellent","80","Fair","100","Excellent","97","Excellent","85","Good","100","Excellent","90","Excellent","98",NA,"98","Excellent","93","Excellent"
"948","2013","10662","WIL_UPR  McKenzie R at Hendricks Bridge","10/25/12","8.4","10.9","95","1.3","7.5","56","0.005","0.014","0.05","15",NA,"100","Excellent","77","Poor","100","Excellent","99","Excellent","85","Good","100","Excellent","92","Excellent","98",NA,"98","Excellent","93","Excellent"
"949","2013","12553","WIL_MID  N Santiam R at Gates School Rd","10/25/12","10.5","11.3","104","0.6","7.6","54","0.005","0.027","0.03","5",NA,"100","Excellent","89","Good","100","Excellent","99","Excellent","91","Excellent","95","Excellent","93","Excellent","98",NA,"98","Excellent","95","Excellent"
"950","2013","12559","WIL_MID  N Santiam R at Coopers Ridge Rd","10/25/12","6.2","11.9","100","1","7.7","66","0.005","0.008","0.04","1",NA,"100","Excellent","82","Fair","100","Excellent","99","Excellent","88","Good","100","Excellent","87","Good","98",NA,"98","Excellent","93","Excellent"
"951","2013","12552","WIL_UPR  McKenzie R at McKenzie Bridge","10/25/12","6.5","11.9","101","0.5","7.7","60","0.005","0.003","0.05","5",NA,"100","Excellent","91","Excellent","100","Excellent","100","Excellent","85","Good","99","Excellent","90","Excellent","98",NA,"98","Excellent","95","Excellent"
"952","2013","11047","MAL  Malheur River at HWY 20 (Drewsey)","10/29/12","8.4","10.5","101","1.1","8.1","187","0.005","0.009","0.15","179",NA,"100","Excellent","80","Fair","95","Excellent","99","Excellent","55","Very Poor","99","Excellent","100","Excellent","81",NA,"81","Fair","83","Fair"
"953","2013","11050","OWH  Jordan Creek at Arock Rd","10/29/12","11.4","8.1","84","2.9","7.6","276","0.014","0.247","0.15","49",NA,"100","Excellent","56","Very Poor","100","Excellent","89","Good","55","Very Poor","86","Good","95","Excellent","96",NA,"96","Excellent","78","Poor"
"954","2013","36783","OWH  Crooked Creek at Kiger Rd","10/29/12","15.5","9.4","105","0.9","8.6","359","0.005","0.719","0.07","201",NA,"95","Excellent","84","Fair","73","Poor","72","Poor","79","Poor","94","Excellent","89","Good","78",NA,"78","Poor","82","Fair"
"955","2013","36778","GS_Lakes  Thomas Creek at Stock Drive Rd","10/31/12","7.5","8.9","88","1.6","8.2","177","0.005","0.003","0.08","68",NA,"100","Excellent","73","Poor","90","Excellent","100","Excellent","76","Poor","92","Excellent","100","Excellent","93",NA,"93","Excellent","89","Good"
"956","2013","10517","DES  Crooked R at Lone Pine Rd","11/5/12","12","11.5","117","2.3","8.4","275","0.005","0.988","0.12","37",NA,"100","Excellent","63","Poor","81","Fair","63","Poor","64","Poor","82","Fair","77","Poor","97",NA,"97","Excellent","75","Poor"
"957","2013","10506","DES  Deschutes R at Warm Springs","11/5/12","11.3","10.7","103","2.4","8.9","100","0.017","0.112","0.08","9",NA,"100","Excellent","62","Poor","63","Poor","94","Excellent","76","Poor","96","Excellent","86","Good","98",NA,"98","Excellent","80","Fair"
"958","2013","10690","DES  Metolius R at Bridge 99 (Camp Sherman)","11/5/12","7.9","11.6","107","1.5","8.1","73","0.005","0.031","0.08","0.5",NA,"100","Excellent","74","Poor","95","Excellent","98","Excellent","76","Poor","92","Excellent","100","Excellent","98",NA,"98","Excellent","90","Excellent"
"959","2013","10508","DES  Deschutes R at Lower Bridge","11/5/12","9.8","10.8","104","1.7","7.8","60","0.005","0.006","0.07","13",NA,"100","Excellent","71","Poor","100","Excellent","99","Excellent","79","Poor","95","Excellent","100","Excellent","98",NA,"98","Excellent","91","Excellent"
"960","2013","36776","DES  Trout Creek ds of Mud Springs Creek","11/5/12","10.1","10.6","99","1.6","8.5","374","0.005","2.73","0.14","131",NA,"100","Excellent","73","Poor","77","Poor","28","Very Poor","58","Very Poor","100","Excellent","10","Very Poor","86",NA,"86","Good","26","Very Poor"
"961","2013","11477","DES  Crooked R at Conant Basin Rd","11/5/12","9.4","9.9","97","1.7","8.4","299","0.005","0.011","0.02","40",NA,"100","Excellent","71","Poor","81","Fair","99","Excellent","94","Excellent","98","Excellent","74","Poor","97",NA,"97","Excellent","87","Good"
